opened_time,closed_time,amount_in,amount_out,executed_price,quote_price,slippage,hash,gas_used,gas_price,sqrt_price,tick,origin,is_buy,blockNumber,lp_address,lp_feeTier,lp_liquidity,lp_tvlToken0,lp_tvlToken1,lp_tvlUSD,lp_volumeUSD,lp_volumeUSDChange,lp_volumeUSDWeek
1702321901,1702321907,0.045612218601120004,99.737402,2186.6378145778453,2181.387,-5.250814577845176,0x146b962ff1539a3357697237496b8b5cd2ca3f350dc700a63ddd2b3a86a892db,275269,41277186740,3.705752793782232e+24,-199414,0x056d586b4ecefce97ec5a42297efded67864a4a0,True,18764962,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,2763170233160083000,7725.545128959554,14711937.232731555,31380590.59765815,115749616.50314331,231.77882802968756,477237424.8324127
1702319718,1702319723,4.7,10226.071469,2175.7598870212764,2167.396,-8.363887021276241,0x5f005f7fc19e77e2b29632ec1264d5b74cef408ce6df817994a6d77dcf014fc4,236324,69040085969,3.6963786229530966e+24,-199465,0xb022345698ffb9e5af7f0dbb637e2b326db34465,True,18764780,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,2764272290086864400,7878.024368279939,14379182.905123726,31470482.393823322,113968566.30834961,230.1193730681193,474732618.45448303
1702302969,1702302983,0.075,167.248277,2229.9770266666665,2229.965,-0.012026666666315577,0x14008417c3a4011950f4a60ba8845c4794d2ac7f930e05ba311464dc9e0f2cab,283316,42297627549,3.746986299917781e+24,-199193,0x94832bdff70bcdee5122f748a943a69a04e1bbd5,True,18763401,,,,,,,,,
1702375332,1702375343,1.8830733969643978,4198.824724,2229.7722068447792,2226.387,-3.385206844779077,0xf4d9fd237b92e93d853c3c27a41883739ac571107267f6db47791d74a0d31537,243611,33471793044,3.740285219760779e+24,-199229,0x7e44242b202af2d0fdd8b33e11f878bae0f78fd2,False,18769382,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5532413293654516000,7096.075651964011,15971272.985007513,31041579.6711737,86532344.30792236,-6.497175577731551,501154409.7996979
1702347133,1702347143,1.5826510937836027,3537.392787,2235.105893455801,2226.399,-8.706893455801037,0xe6b65aebb658675668e0e61aba5dedce07d715bd468e89ad80b0ba7e4df9b721,433911,28261466931,3.745610395511348e+24,-199201,0xc6be0c71f54bf835cf7bf6d01be24d4dadd7a075,True,18767049,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,585474597974242600,720.1816726088839,1627799.769357367,3145493.063597195,85514110.3179369,65.1094460429274,577964874.7601302
1702367615,1702367627,2.5,5588.058685,2235.223474,2224.006,-11.217474000000038,0x908e773d698ca8da51eb6e5256455106e3c6781ec7b4d027dbfacf2c5525196d,333618,26686927499,3.7466577351250085e+24,-199195,0x788111b91c8673af1e5f0911eeb6f372c5108194,True,18768743,0x11b815efb8f581194ae79006d24e0d814b7697f6,500,5532236377275138000,6879.358144381968,16455178.587360699,31045348.16401402,87074018.93345642,-4.088306686413239,500269872.0395508
1702306548,1702306559,8.9917611587222e-05,0.2,2224.258367961606,2219.262,-4.996367961605756,0x2358f7f3d0606b971741094d6a78fa17de14317e30842dd26100d6bd19847e42,308438,40067909331,3.7374965537568454e+24,-199244,0xad36178edce18fa69ff110e00907e24dba067224,True,18763697,,,,,,,,,
1702361894,1702361903,0.015,33.318422,2221.2281333333335,2217.558,-3.670133333333524,0xeb23a6cd2f8346ff84c91e7ccf9f5839518849271f2753cd50df2f6a3f0d3bc3,279438,28000000000,3.73420040012126e+24,-199262,0xb3ff1dc4d948382cbf75e80b704aea62d687c6d9,True,18768271,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,100,585474597974242600,756.2465846444486,1543478.8133481648,3157089.498791862,78954398.7074728,23.80142418788275,572837409.0459464
1702303695,1702303703,1.0035279191967994,2236.720563,2228.857334422962,2225.449,-3.4083344229620707,0xaa94aa53e6b125f0d13da40b269ab455038f6f0a0e2cade0e9323ce0bd2e1c85,511214,36770737952,3.740354557280221e+24,-199229,0xdf1d85b68df38c6baedb3831f15e7f1f155b1a3f,False,18763461,,,,,,,,,
1702329231,1702329239,18.027,39803.673538,2208.003191767904,2194.399,-13.604191767904013,0xb0efd948b6a660e6d0217dda7efdfa145b4fb4626ca04ad84c776b04533721b9,304152,38970640553,3.7175962643771726e+24,-199351,0xe18c720e00dbf84b980b12e5b9541967b2ee8ce6,False,18765570,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,3000,5215999757094100000,15907.134589864832,29440622.27184146,63732441.53184837,37100279.69226074,268.11343905916846,155770909.97314835
